,"DIN 26241 (белый. 14 персон, 82х60х55,  6 программ, расход 12л)",,"30,400",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DSN 26320 B (черный, 82,5х60х57, 13 персон, 6 программ, LCD дисплей,А++ )",,"36,200",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ на 60 см
,"DIS 25010 (белый, 85х45х57, 10 персон, 5 прогр. , А+)",,"21,000",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"FSS 52010 GW (белый, 4 газовые конф., эл.духовка, эл.поджиг, гриль)",,"16,100",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"CSS 53010 GW (белый, 3х1, эл.духовка, эл.поджиг)",,"16,100",ВСТРАИВАЕМЫЕ ПОСУДОМОЕЧНЫЕ МАШИНЫ УЗКИЕ 45см
,"FFSS 62000 W (белый, 4 газовые конфорки, эл.духовка)",,"17,900",ПЛИТЫ 60х60
,"FSE 62110 DW (белый, 4 газовые конфорки, духовка электр., газ контроль, автоподжиг, конвекция)",,"19,000",ПЛИТЫ 60х61
,"FSM 65330 DAS (черный, 4 газовые конфорки, духовка электр., газ контроль, автоподжиг, конвекция, дисплей) ",,"29,500",ПЛИТЫ 60х62
,"FSE 63110 DW (белый, 3х1, эл.духовка, газ контроль, конвекция) ",,"19,400",ПЛИТЫ 60х63
,"FSE 63110 DSCS (серый, 3х1, элек. поджиг, электрическая духовка, конвекция) ",,"20,600",ПЛИТЫ 60х64
,"FSS 63110 DSCS (серый, 3х1, элек. поджиг, электрическая духовка) ",,"19,000",ПЛИТЫ 60х65
,"FSS 63010 DW (белый, 3х1, элек. поджиг, электрическая духовка) ",,"17,400",ПЛИТЫ 60х66
,"FSE 63120 GXS (стальной/черный, 3х1, элек. поджиг, электр.духовка)",,"22,400",ПЛИТЫ 60х67
,"FSE 63320 DW (белый, 3х1,авто поджиг, LED дисплей, конвекция, электр. духовка) ",,"20,400",ПЛИТЫ 60х68
,"FSE 63320 DX Superia (стальной, 3х1, эл. духовка, LED дисплей, автоподжиг, газ контроль, конвекция)",,"22,700",ПЛИТЫ 60х69
,"FSE 63321 DX Superia (стальной, 3х1, эл. духовка, LED дисплей, автоподжиг, газ контроль, конвекция)",,"25,400",ПЛИТЫ 60х70
